itemId,title,genres,imdb_id,imdb_rating,imdb_votes,metascore,runtime,MPAA_rating,imdb_genres,director,actors,year
3710,Action Jackson,"Action, Comedy",tt0094612,5.3,9015,36,96,R,"Action, Comedy, Crime, Thriller",Craig R Baxley,"Carl Weathers, Craig T Nelson, Vanity, Sharon Stone",1988
3711,Sarafina!,Drama,tt0105316,6.4,1678,0,117,PG-13,"Drama, Musical",Darrell Roodt,"Leleti Khumalo, Whoopi Goldberg, Miriam Makeba, John Kani",1992
3712,Soapdish,Comedy,tt0102951,6.5,13028,65,97,PG-13,"Comedy, Romance",Michael Hoffman,"Cathy Moriarty, Teri Hatcher, Robert Downey Jr, Sally Field",1991
3713,"Long Walk Home, The",Drama,tt0100046,7.3,2944,73,97,PG,"Drama, History",Richard Pearce,"Sissy Spacek, Whoopi Goldberg, Dwight Schultz, Ving Rhames",1990
3714,Clara's Heart,Drama,tt0094882,6.3,1941,0,108,PG-13,Drama,Robert Mulligan,"Whoopi Goldberg, Michael Ontkean, Kathleen Quinlan, Neil Patrick Harris",1988
3715,Burglar,Comedy,tt0092710,5.1,3732,0,103,R,"Comedy, Crime",Hugh Wilson,"Whoopi Goldberg, Bobcat Goldthwait, GW Bailey, Lesley Ann Warren",1987
3716,Fatal Beauty,"Action, Crime",tt0093011,5.4,2937,0,104,R,"Action, Comedy, Crime, Drama, Thriller",Tom Holland,"Whoopi Goldberg, Sam Elliott, Ruben Blades, Harris Yulin",1987
3717,Gone in 60 Seconds,"Action, Crime",tt0315906,7.1,14,0,0,,Action,nan,"Denice Shakarian Halicki, Bobby Ore",2000
3718,American Pimp,Documentary,tt0179074,6.6,2048,59,87,R,Documentary,"Albert Hughes, Allen Hughes","John S Dickson, Antonio Fargas, Heidi Fleiss, L Hammond",1999
3719,Love's Labour's Lost,"Comedy, Romance",tt0182295,6.1,4088,35,93,PG,"Romance, Comedy, Musical",Kenneth Branagh,"Alessandro Nivola, Alicia Silverstone, Natascha McElhone, Kenneth Branagh",2000
3720,Sunshine,Drama,tt0145503,7.5,12198,71,181,R,"Drama, History, Romance, War",Istvan Szabo,"Ralph Fiennes, Rosemary Harris, Rachel Weisz, Jennifer Ehle",1999
3721,Trixie,Comedy,tt0162711,5.0,1363,26,116,R,"Comedy, Crime, Mystery, Romance",Alan Rudolph,"Emily Watson, Dermot Mulroney, Nick Nolte, Nathan Lane",1999
3722,Live Virgin,Comedy,tt0143422,3.6,1384,30,88,R,Comedy,JeanPierre Marois,"Mark AdairRios, Jason Bercy, Brian Bloom, Michael Cudlitz",1999
3723,Hamlet,Drama,tt0099726,6.8,19662,53,135,PG,Drama,Franco Zeffirelli,"Mel Gibson, Glenn Close, Alan Bates, Paul Scofield",1990
3724,Coming Home,"Drama, War",tt0077362,7.3,11001,61,127,R,"Drama, Romance, War",Hal Ashby,"Jane Fonda, Jon Voight, Bruce Dern, Penelope Milford",1978
3725,American Pop,"Animation, Musical",tt0082009,7.2,3764,0,96,R,"Animation, Drama, History, Music",Ralph Bakshi,"Ron Thompson, Mews Small, Jerry Holland, Lisa Jane Persky",1981
3726,Assault on Precinct 13,"Action, Thriller",tt0074156,7.4,38146,89,91,R,"Action, Crime, Thriller",John Carpenter,"Austin Stoker, Darwin Joston, Laurie Zimmer, Martin West",1976
3727,Near Dark,"Comedy, Horror",tt0093605,7.0,29533,76,94,R,"Action, Crime, Drama, Horror, Romance, Thriller",Kathryn Bigelow,"Adrian Pasdar, Jenny Wright, Lance Henriksen, Bill Paxton",1987
3728,One False Move,Thriller,tt0102592,7.2,8719,87,105,R,"Crime, Drama",Carl Franklin,"Bill Paxton, Cynda Williams, Billy Bob Thornton, Michael Beach",1991
3729,Shaft,"Action, Crime",tt0067741,6.6,14111,0,100,R,"Action, Crime, Thriller",Gordon Parks,"Richard Roundtree, Moses Gunn, Charles Cioffi, Christopher St John",1971
3730,"Conversation, The","Drama, Mystery",tt0071360,7.9,85866,85,113,PG,"Drama, Mystery, Thriller",Francis Ford Coppola,"Gene Hackman, John Cazale, Allen Garfield, Frederic Forrest",1974
3731,Cutter's Way,"Drama, Thriller",tt0082220,6.9,4362,0,109,R,"Crime, Drama, Mystery, Thriller",Ivan Passer,"Jeff Bridges, John Heard, Lisa Eichhorn, Ann Dusenberry",1981
3732,"Fury, The",Horror,tt0077588,6.4,11815,0,118,R,"Horror, Sci-Fi",Brian De Palma,"Kirk Douglas, John Cassavetes, Carrie Snodgress, Charles Durning",1978
3733,"Paper Chase, The",Drama,tt0070509,7.2,6568,65,113,PG,"Comedy, Drama",James Bridges,"Timothy Bottoms, Lindsay Wagner, John Houseman, Graham Beckel",1973
3734,Prince of the City,Drama,tt0082945,7.6,6163,0,167,R,"Crime, Drama",Sidney Lumet,"Treat Williams, Jerry Orbach, Richard Foronjy, Don Billett",1981
3735,Serpico,"Crime, Drama",tt0070666,7.8,95031,87,130,R,"Biography, Crime, Drama, Thriller",Sidney Lumet,"Al Pacino, John Randolph, Jack Kehoe, Biff McGuire",1973
3736,"Big Carnival, The",Drama,tt0043338,8.2,23858,72,111,Not Rated,"Drama, Film-Noir",Billy Wilder,"Kirk Douglas, Jan Sterling, Robert Arthur, Porter Hall",1951
3737,Lonely Are the Brave,"Drama, Western",tt0056195,7.7,7016,0,107,Approved,"Drama, Western",David Miller,"Kirk Douglas, Gena Rowlands, Walter Matthau, Michael Kane",1962
3738,"Sugarland Express, The",Drama,tt0072226,6.8,13328,65,110,PG,"Crime, Drama",Steven Spielberg,"Goldie Hawn, Ben Johnson, Michael Sacks, William Atherton",1974
3739,Trouble in Paradise,"Comedy, Romance",tt0023622,8.2,11450,0,83,NOT RATED,"Comedy, Crime, Romance",Ernst Lubitsch,"Miriam Hopkins, Kay Francis, Herbert Marshall, Charles Ruggles",1932
3740,Big Trouble in Little China,"Action, Comedy",tt0090728,7.3,110902,53,99,PG-13,"Action, Adventure, Comedy, Fantasy",John Carpenter,"Kurt Russell, Kim Cattrall, Dennis Dun, James Hong",1986
3741,Badlands,"Crime, Drama",tt0069762,7.9,57313,93,94,PG,"Crime, Drama",Terrence Malick,"Martin Sheen, Sissy Spacek, Warren Oates, Ramon Bieri",1973
3742,"Battleship Potemkin, The (Bronenosets Potyomkin)","Drama, War",tt0015648,8.0,47129,0,66,NOT RATED,"Drama, History",Sergei M Eisenstein,"Aleksandr Antonov, Vladimir Barskiy, Grigoriy Aleksandrov, Ivan Bobrov",1925
3743,Boys and Girls,"Comedy, Romance",tt0204175,5.4,15005,29,94,PG-13,"Comedy, Drama, Romance",Robert Iscove,"Brendon Ryan Barrett, Gay Thomas Wilson, Raquel Beaudene, Claire Forlani",2000
3744,Shaft,"Action, Crime",tt0162650,5.9,64696,50,99,R,"Action, Crime, Thriller",John Singleton,"Samuel L Jackson, Vanessa Williams, Jeffrey Wright, Christian Bale",2000
3745,Titan A.E.,"Adventure, Animation, Sci-Fi",tt0120913,6.6,55898,48,94,PG,"Animation, Action, Adventure, Family, Sci-Fi","Don Bluth, Gary Goldman","Matt Damon, Bill Pullman, John Leguizamo, Nathan Lane",2000
3746,Butterfly (La Lengua de las Mariposas),"Drama, War",tt0257460,7.2,72,58,79,,Documentary,Doug Wolens,"Christine Casarsa, Julia Butterfly Hill",2000
3747,Jesus' Son,Drama,tt0186253,7.0,6564,76,107,R,Drama,Alison Maclean,"Billy Crudup, Robert Michael Kelly, Torben Brooks, Dierdre Lewis",1999
3748,"Match, The","Comedy, Romance",tt0165384,6.2,1211,0,95,PG-13,"Comedy, Romance, Sport",Mick Davis,"Max Beesley, Isla Blair, James Cosmo, Laura Fraser",1999
3749,Time Regained (Le Temps Retrouv),Drama,tt0189142,6.8,1931,72,169,,"Drama, Romance, War",Raoul Ruiz,"Catherine Deneuve, Emmanuelle Beart, Vincent Perez, John Malkovich",1999
3750,Boricua's Bond,Drama,tt0217287,3.7,218,21,105,R,Drama,Val Lik,"Frankie Negron, Val Lik, Ramses Ignacio, Jorge Gautier",2000
3751,Chicken Run,"Animation, Children's, Comedy",tt0120630,7.0,161577,88,84,G,"Animation, Adventure, Comedy, Drama, Family","Peter Lord, Nick Park","Phil Daniels, Lynn Ferguson, Mel Gibson, Tony Haygarth",2000
3752,"Me, Myself and Irene",Comedy,tt0183505,6.6,207227,49,116,R,Comedy,"Bobby Farrelly, Peter Farrelly","Jim Carrey, Renee Zellweger, Anthony Anderson, Mongo Brownlee",2000
3753,"Patriot, The","Action, Drama, War",tt0187393,7.2,234528,63,165,R,"Action, Drama, History, War",Roland Emmerich,"Mel Gibson, Heath Ledger, Joely Richardson, Jason Isaacs",2000
3754,"Adventures of Rocky and Bullwinkle, The","Animation, Children's, Comedy",tt0131704,4.2,18178,36,92,PG,"Animation, Adventure, Comedy, Family, Fantasy",Des McAnuff,"Rene Russo, Jason Alexander, Piper Perabo, Randy Quaid",2000
3755,"Perfect Storm, The","Action, Adventure, Thriller",tt0177971,6.4,145403,59,130,PG-13,"Action, Adventure, Drama, Thriller",Wolfgang Petersen,"George Clooney, Mark Wahlberg, John C Reilly, Diane Lane",2000
3756,"Golden Bowl, The",Drama,tt0200669,6.0,3978,62,130,R,"Drama, Romance",James Ivory,"Kate Beckinsale, James Fox, Anjelica Huston, Nick Nolte",2000
3757,Asylum,Horror,tt0068230,6.5,4921,0,88,PG,Horror,Roy Ward Baker,"Barbara Parkins, Richard Todd, Sylvia Syms, Peter Cushing",1972
3758,Communion,"Drama, Sci-Fi, Thriller",tt0097100,5.7,4817,0,107,R,"Biography, Drama, Horror, Sci-Fi, Thriller",Philippe Mora,"Christopher Walken, Lindsay Crouse, Frances Sternhagen, Andreas Katsulas",1989
3759,Fun and Fancy Free,"Animation, Children's, Musical",tt0039404,6.7,5639,66,73,Approved,"Animation, Adventure, Comedy, Family, Fantasy, Musical, Romance",nan,"Edgar Bergen, Dinah Shore, Charlie McCarthy, Mortimer Snerd",1947
3760,"Kentucky Fried Movie, The",Comedy,tt0076257,6.5,15547,0,83,R,Comedy,John Landis,"Marilyn Joi, Saul Kahan, David Zucker, Marcy Goldman",1977
3761,"Blood In, Blood Out (a.k.a. Bound by Honor)","Crime, Drama",tt0106469,8.0,26312,0,180,R,"Crime, Drama",Taylor Hackford,"Damian Chapa, Jesse Borrego, Benjamin Bratt, Enrique Castillo",1993
3762,Daughter of Dr. Jeckyll,Horror,tt0050292,5.3,338,0,71,UNRATED,"Fantasy, Horror",Edgar G Ulmer,"John Agar, Gloria Talbott, Arthur Shields, John Dierkes",1957
3763,F/X,"Action, Crime, Thriller",tt0089118,6.7,15709,71,109,R,"Action, Thriller",Robert Mandel,"Bryan Brown, Brian Dennehy, Diane Venora, Cliff De Young",1986
3764,F/X 2,"Action, Crime, Thriller",tt0101846,5.8,7816,48,108,PG-13,"Action, Thriller",Richard Franklin,"Bryan Brown, Brian Dennehy, Rachel Ticotin, Joanna Gleason",1992
3765,"Hot Spot, The","Drama, Romance",tt0099797,6.4,9324,56,130,R,"Crime, Drama, Romance, Thriller",Dennis Hopper,"Don Johnson, Virginia Madsen, Jennifer Connelly, Charles Martin Smith",1990
3766,Missing in Action,"Action, War",tt0087727,5.4,12347,0,101,R,"Action, Adventure, Drama, Thriller, War",Joseph Zito,"Chuck Norris, M Emmet Walsh, David Tress, Lenore Kasdorf",1984
3767,Missing in Action 2: The Beginning,"Action, War",tt0089604,5.3,6756,0,100,R,"Action, Drama, Thriller, War",Lance Hool,"Chuck Norris, SoonTek Oh, Steven Williams, Bennett Ohta",1985
3768,Braddock: Missing in Action III,"Action, War",tt0094792,4.8,5105,0,101,R,"Action, War",Aaron Norris,"Chuck Norris, Aki Aleong, Roland Harrah III, Miki Kim",1988
3769,Thunderbolt and Lightfoot,Action,tt0072288,7.1,19056,62,115,R,"Comedy, Crime, Drama",Michael Cimino,"Clint Eastwood, Jeff Bridges, Geoffrey Lewis, Catherine Bach",1974
3770,Dreamscape,"Adventure, Crime, Sci-Fi, Thriller",tt0087175,6.3,12353,0,99,PG-13,"Action, Adventure, Horror, Sci-Fi, Thriller",Joseph Ruben,"Dennis Quaid, Max von Sydow, Christopher Plummer, Eddie Albert",1984
3771,"Golden Voyage of Sinbad, The","Action, Adventure",tt0071569,6.8,7243,0,105,G,"Action, Adventure, Fantasy",Gordon Hessler,"John Phillip Law, Caroline Munro, Tom Baker, Douglas Wilmer",1974
3772,Hatchet For the Honeymoon (Rosso Segno Della Follia),Horror,tt0064904,6.4,2614,0,88,GP,"Horror, Mystery, Thriller",Mario Bava,"Stephen Forsyth, Dagmar Lassander, Laura Betti, Jesus Puente",1969
3773,House Party,Comedy,tt0099800,6.4,11619,76,100,R,"Comedy, Music, Romance",Reginald Hudlin,"Christopher Reid, Robin Harris, Christopher Martin, Martin Lawrence",1990
3774,House Party 2,Comedy,tt0102065,5.2,5484,0,94,R,"Comedy, Drama, Music, Romance","George Jackson, Doug McHenry","Christopher Reid, Christopher Martin, Martin Lawrence, Bowlegged Lou",1991
3775,Make Mine Music,"Animation, Children's, Musical",tt0038718,6.4,3068,60,75,Approved,"Animation, Family, Music","Robert Cormack, Clyde Geronimi, Jack Kinney, Hamilton Luske, Joshua Meador","Nelson Eddy, Dinah Shore, Benny Goodman, The Andrews Sisters",1946
3776,Melody Time,"Animation, Children's, Musical",tt0040580,6.5,3951,69,75,Approved,"Animation, Family, Music, Musical","Clyde Geronimi, Wilfred Jackson, Jack Kinney, Hamilton Luske","Roy Rogers, Trigger, Dennis Day, The Andrews Sisters",1948
3777,Nekromantik,"Comedy, Horror",tt0093608,5.1,7279,0,75,NOT RATED,Horror,Jorg Buttgereit,"Bernd Daktari Lorenz, Beatrice Manowski, Harald Lundt, Collosseo",1987
3778,On Our Merry Way,"Comedy, Drama",tt0040664,5.9,522,0,107,APPROVED,"Comedy, Music, Romance","Leslie Fenton, King Vidor, John Huston, George Stevens","Paulette Goddard, Burgess Meredith, James Stewart, Henry Fonda",1948
3779,Project Moon Base,Sci-Fi,tt0046213,2.8,844,0,63,APPROVED,Sci-Fi,Richard Talmadge,"Donna Martell, Hayden Rorke, Ross Ford, Larry Johns",1953
3780,Rocketship X-M,Sci-Fi,tt0042897,4.9,1815,0,77,APPROVED,Sci-Fi,Kurt Neumann,"Lloyd Bridges, Osa Massen, John Emery, Noah Beery Jr",1950
3781,Shaft in Africa,"Action, Crime",tt0070679,6.0,2107,0,112,R,"Action, Adventure, Crime, Drama",John Guillermin,"Richard Roundtree, Frank Finlay, Vonetta McGee, Neda Arneric",1973
3782,Shaft's Big Score!,"Action, Crime",tt0069257,6.1,2154,0,104,R,"Action, Crime, Drama, Thriller",Gordon Parks,"Richard Roundtree, Moses Gunn, Drew Bundini Brown, Joseph Mascolo",1972
3783,Croupier,"Crime, Drama",tt0159382,7.2,17049,75,94,NOT RATED,"Crime, Drama",Mike Hodges,"Clive Owen, Nick Reding, Nicholas Ball, Alexander Morton",1998
3784,"Kid, The",Comedy,tt0219854,6.1,37625,45,104,PG,"Comedy, Family, Fantasy",Jon Turteltaub,"Bruce Willis, Spencer Breslin, Emily Mortimer, Lily Tomlin",2000
3785,Scary Movie,"Comedy, Horror",tt0175142,6.2,211567,48,88,R,Comedy,Keenen Ivory Wayans,"Carmen Electra, Dave Sheridan, Frank B Moore, Giacomo Baessato",2000
3786,But I'm a Cheerleader,Comedy,tt0179116,6.6,23070,39,85,R,"Comedy, Drama, Romance",Jamie Babbit,"Natasha Lyonne, Michelle Williams, Brandt Wille, Bud Cort",1999
3787,Shower (Xizhao),Comedy,tt0215369,7.5,3597,74,92,PG-13,"Comedy, Drama",Yang Zhang,"Jiayi Du, Bing He, Wu Jiang, Ding Li",1999
3788,Blowup,"Drama, Mystery",tt0060176,7.6,49704,0,111,Not Rated,"Drama, Mystery, Thriller",Michelangelo Antonioni,"Vanessa Redgrave, Sarah Miles, David Hemmings, John Castle",1966
3789,"Pawnbroker, The",Drama,tt0059575,7.8,7141,0,116,Approved,Drama,Sidney Lumet,"Rod Steiger, Geraldine Fitzgerald, Brock Peters, Jaime Sanchez",1965
3790,Groove,Drama,tt0212974,6.5,3834,54,86,R,"Drama, Music",Greg Harrison,"Chris Ferreira, Mackenzie Firgens, Elizabeth Sun, Steve Van Wormer",2000
3791,Footloose,Drama,tt0087277,6.5,62326,42,107,PG,"Drama, Music, Romance",Herbert Ross,"Kevin Bacon, Lori Singer, John Lithgow, Dianne Wiest",1984
3792,Duel in the Sun,Western,tt0038499,6.9,7280,0,129,UNRATED,"Drama, Romance, Western","King Vidor, Otto Brower, William Dieterle, Sidney Franklin, William Cameron Menzies, David O Selznick, Josef von Sternberg","Jennifer Jones, Joseph Cotten, Gregory Peck, Lionel Barrymore",1946
3793,X-Men,"Action, Sci-Fi",tt0120903,7.4,526854,64,104,PG-13,"Action, Adventure, Sci-Fi",Bryan Singer,"Hugh Jackman, Patrick Stewart, Ian McKellen, Famke Janssen",2000
3794,Chuck & Buck,"Comedy, Drama",tt0200530,6.6,4968,76,96,R,"Comedy, Drama",Miguel Arteta,"Mike White, Chris Weitz, Lupe Ontiveros, Beth Colt",2000
3795,"Five Senses, The",Drama,tt0168794,6.8,2924,56,106,R,"Comedy, Drama, Music",Jeremy Podeswa,"Molly Parker, Gabrielle Rose, Elize Frances Stolk, Nadia Litz",1999
3796,"Wisdom of Crocodiles, The (a.k.a. Immortality)","Romance, Thriller",tt0120894,6.3,5394,58,98,R,"Crime, Mystery, Romance, Thriller",PoChih Leong,"Jude Law, Elina Lowensohn, Timothy Spall, Jack Davenport",2000
3797,"In Crowd, The",Thriller,tt0163676,4.7,4009,14,105,PG-13,"Drama, Mystery, Thriller",Mary Lambert,"Susan Ward, Lori Heuring, Matthew Settle, Nathan Bexton",2000
3798,What Lies Beneath,Thriller,tt0161081,6.6,109094,51,130,PG-13,"Drama, Fantasy, Horror, Mystery, Thriller",Robert Zemeckis,"Michelle Pfeiffer, Katharine Towne, Miranda Otto, James Remar",2000
3799,Pokmon the Movie 2000,"Animation, Children's",tt0210234,6.0,18186,28,99,G,"Animation, Action, Adventure, Family, Fantasy","Michael Haigney, Kunihiko Yuyama","Rica Matsumoto, Madeleine Blaustein, Mayumi Izuka, Tomokazu Seki",2000
3800,Criminal Lovers (Les Amants Criminels),"Drama, Romance",tt0205735,6.6,3352,59,96,,"Crime, Drama, Thriller",Francois Ozon,"Natacha Regnier, Jeremie Renier, Predrag 'Miki' Manojlovic, Salim Kechiouche",1999
3801,Anatomy of a Murder,"Drama, Mystery",tt0052561,8.0,53257,0,160,Not Rated,"Crime, Drama, Mystery, Thriller",Otto Preminger,"James Stewart, Lee Remick, Ben Gazzara, Arthur O'Connell",1959
3802,Freejack,"Action, Sci-Fi",tt0104299,5.3,13772,0,110,R,"Action, Crime, Sci-Fi, Thriller",Geoff Murphy,"Emilio Estevez, Mick Jagger, Rene Russo, Anthony Hopkins",1992
3803,Greaser's Palace,Drama,tt0068659,6.1,783,0,91,TV-MA,"Comedy, Western",Robert Downey Sr,"Albert Henderson, Michael Sullivan, Luana Anders, George Morgan",1972
3804,H.O.T.S.,Comedy,tt0079257,4.3,1493,0,98,R,Comedy,Gerald Seth Sindell,"Susan Kiger, Lisa London, Pamela Jean Bryant, Kimberly Cameron",1979
3805,Knightriders,"Action, Adventure, Drama",tt0082622,6.3,3805,69,146,R,"Action, Drama",George A Romero,"Ed Harris, Gary Lahti, Tom Savini, Amy Ingersoll",1981
3806,MacKenna's Gold,Western,tt0064615,6.8,7089,0,128,M,"Action, Adventure, Romance, Western",J Lee Thompson,"Gregory Peck, Omar Sharif, Telly Savalas, Camilla Sparv",1969
3807,Sinbad and the Eye of the Tiger,"Action, Adventure",tt0076716,6.4,5936,0,113,G,"Action, Adventure, Family, Fantasy",Sam Wanamaker,"Patrick Wayne, Taryn Power, Margaret Whiting, Jane Seymour",1977
3808,Two Women (La Ciociara),"Drama, War",tt0054749,7.9,7848,0,100,,"Drama, War",Vittorio De Sica,"Sophia Loren, JeanPaul Belmondo, Eleonora Brown, Carlo Ninchi",1961
3809,What About Bob?,Comedy,tt0103241,7.0,56921,60,99,PG,Comedy,Frank Oz,"Bill Murray, Richard Dreyfuss, Julie Hagerty, Charlie Korsmo",1991
3810,White Sands,"Drama, Thriller",tt0105813,6.0,6256,0,101,R,"Action, Crime, Drama, Thriller",Roger Donaldson,"Willem Dafoe, Mary Elizabeth Mastrantonio, Mickey Rourke, Samuel L Jackson",1992
3811,Breaker Morant,"Drama, War",tt0080310,7.9,11092,0,107,PG,"Drama, History, War",Bruce Beresford,"Edward Woodward, Jack Thompson, John Waters, Bryan Brown",1980
3812,Everything You Always Wanted to Know About Sex,Comedy,tt0068555,6.8,35437,66,88,R,Comedy,Woody Allen,"Woody Allen, John Carradine, Lou Jacobi, Louise Lasser",1972
3813,Interiors,Drama,tt0077742,7.5,16190,67,92,PG,Drama,Woody Allen,"Kristin Griffith, Mary Beth Hurt, Richard Jordan, Diane Keaton",1978
3814,Love and Death,Comedy,tt0073312,7.8,32478,89,85,PG,"Comedy, War",Woody Allen,"Woody Allen, Diane Keaton, Georges Adet, Frank Adu",1975
3816,"Official Story, The (La Historia Oficial)",Drama,tt0089276,7.8,6398,0,112,NOT RATED,"Drama, History, War",Luis Puenzo,"Hector Alterio, Norma Aleandro, Chunchuna Villafane, Hugo Arana",1985
3817,"Other Side of Sunday, The (Sndagsengler)","Comedy, Drama",tt0117817,7.1,1055,0,103,PG-13,"Comedy, Drama",Berit Nesheim,"Marie Theisen, Hildegun Riise, Bjrn Sundquist, Sylvia Salvesen",1996
3818,Pot O' Gold,"Comedy, Musical",tt0034055,6.1,1361,0,86,APPROVED,"Comedy, Musical, Romance",George Marshall,"James Stewart, Paulette Goddard, Horace Heidt, Charles Winninger",1941
3819,Tampopo,Comedy,tt0768126,7.4,11,0,87,,Documentary,Toshiro Uratani,"Toshiya Fujita, Isao Hashizume, Seigo Hosogoe, Hisashi Igawa",1986
3820,Thomas and the Magic Railroad,Children's,tt0205461,3.8,3347,19,85,G,"Adventure, Comedy, Drama, Family, Fantasy",Britt Allcroft,"Alec Baldwin, Cody McMains, Russell Means, Peter Fonda",2000
3821,Nutty Professor II: The Klumps,Comedy,tt0144528,4.4,45020,38,106,PG-13,"Comedy, Romance, Sci-Fi",Peter Segal,"Eddie Murphy, Janet Jackson, Larry Miller, John Ales",2000
3822,"Girl on the Bridge, The (La Fille sur le Pont)","Drama, Romance",tt0144201,7.6,11732,75,90,R,"Comedy, Drama, Romance",Patrice Leconte,"Vanessa Paradis, Daniel Auteuil, Frederic Pfluger, Demetre Georgalas",1999
3823,Wonderland,Drama,tt0171865,7.2,3748,71,108,R,Drama,Michael Winterbottom,"Shirley Henderson, Gina McKee, Molly Parker, Ian Hart",1999
3824,Autumn in New York,"Drama, Romance",tt0174480,5.6,23060,24,103,PG-13,"Drama, Romance",Joan Chen,"Richard Gere, Winona Ryder, Anthony LaPaglia, Elaine Stritch",2000
3825,Coyote Ugly,Drama,tt0200550,5.7,99623,27,100,PG-13,"Comedy, Drama, Music, Romance",David McNally,"Piper Perabo, Adam Garcia, John Goodman, Maria Bello",2000
3826,Hollow Man,"Horror, Sci-Fi, Thriller",tt0164052,5.7,113565,24,112,R,"Action, Horror, Sci-Fi, Thriller",Paul Verhoeven,"Elisabeth Shue, Kevin Bacon, Josh Brolin, Kim Dickens",2000
3827,Space Cowboys,"Action, Sci-Fi",tt0186566,6.4,67580,73,130,PG-13,"Action, Adventure, Thriller",Clint Eastwood,"Clint Eastwood, Tommy Lee Jones, Donald Sutherland, James Garner",2000
3828,Better Living,Comedy,tt0131972,4.5,99,21,95,,Comedy,Max Mayer,"Scott Cohen, Olympia Dukakis, Jamie Gonzalez, Roy Scheider",1998
3829,Mad About Mambo,"Comedy, Romance",tt0156757,6.0,1766,41,92,PG-13,"Comedy, Romance",John Forte,"William Ash, Maclean Stewart, Tim Loane, Russell Smith",2000
3830,Psycho Beach Party,"Comedy, Horror, Thriller",tt0206226,6.3,4980,42,95,UNRATED,"Comedy, Horror, Mystery",Robert Lee King,"Lauren Ambrose, Thomas Gibson, Nicholas Brendon, Kimberley Davies",2000
3831,Saving Grace,Comedy,tt0195234,6.9,16680,62,93,R,"Comedy, Crime",Nigel Cole,"Brenda Blethyn, Craig Ferguson, Martin Clunes, Tcheky Karyo",2000
3832,"Black Sabbath (Tre Volti Della Paura, I)",Horror,tt0057603,7.2,8809,0,92,Not Rated,Horror,Mario Bava,"Michele Mercier, Lidia Alfonsi, Boris Karloff, Mark Damon",1963
3833,"Brain That Wouldn't Die, The","Horror, Sci-Fi",tt0052646,4.2,5421,0,82,APPROVED,"Horror, Sci-Fi",Joseph Green,"Jason Evers, Virginia Leith, Anthony La Penna, Adele Lamont",1962
3834,Bronco Billy,"Adventure, Drama, Romance",tt0080472,6.1,9640,66,116,PG,"Action, Adventure, Comedy, Drama, Romance, Western",Clint Eastwood,"Clint Eastwood, Sondra Locke, Geoffrey Lewis, Scatman Crothers",1980
3835,"Crush, The",Thriller,tt0106627,5.8,14099,0,89,R,"Drama, Thriller",Alan Shapiro,"Cary Elwes, Alicia Silverstone, Jennifer Rubin, Kurtwood Smith",1993
3836,Kelly's Heroes,"Action, Comedy, War",tt0065938,7.7,40703,50,144,GP,"Adventure, Comedy, War",Brian G Hutton,"Clint Eastwood, Telly Savalas, Don Rickles, Carroll O'Connor",1970
